pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timech
1,-1,-172,0,0,0,80,83,10,0,79,92.1,264,14,27,-992,13.669
1,-1,-172,0,0,0,80,83,10,0,79,92.13,264,16,28,-993,0.001
1,-1,-172,0,0,0,80,82,10,0,79,92.33,264,17,28,-993,0.735
1,-1,-172,0,0,0,80,83,10,0,79,92.07,264,14,26,-993,0.254
1,-1,-172,0,0,0,80,82,10,0,79,92.3,264,15,27,-994,0
1,-1,-172,0,0,0,80,82,10,0,79,92.28,264,14,27,-991,0.001
1,-1,-172,0,0,0,80,82,10,0,79,92.27,264,14,29,-993,0
1,-1,-172,0,0,0,81,83,10,0,79,92.16,264,14,27,-993,0
1,-1,-172,0,0,0,80,83,10,0,79,92.13,264,16,28,-993,0.001
1,-1,-172,0,0,0,81,83,10,0,79,92.21,264,16,27,-993,0
1,-1,-172,0,0,0,81,83,10,0,79,92.16,264,15,27,-995,0.028
1,-1,-172,0,0,0,81,83,10,0,79,92.26,264,16,27,-994,0.102
1,-1,-172,0,0,0,81,83,10,0,79,92.17,264,14,28,-995,0.102
1,-1,-172,0,0,0,81,83,10,0,79,92.17,264,15,27,-992,0.102
1,-1,-172,0,0,0,81,83,10,0,79,92.17,264,15,27,-995,0.102
1,-1,-172,0,0,0,80,84,10,0,79,92.17,264,21,23,-994,0.102
1,-1,-172,0,0,0,80,84,10,0,79,92.17,264,1,35,-998,0.102
1,-1,-172,0,0,0,80,84,10,0,79,92.17,264,18,38,-990,0.102
1,-1,-172,0,0,0,80,84,10,0,79,92.17,264,19,27,-988,0.102
1,-1,-172,0,0,0,80,84,10,0,79,92.17,264,9,31,-995,0.102
1,-1,-172,0,0,0,80,84,10,0,79,92.17,264,25,26,-992,0.102
1,-1,-172,0,0,0,80,84,10,0,79,92.17,265,10,27,-994,0.101
1,-1,-172,0,0,0,80,84,10,0,79,92.17,265,18,26,-994,0.103
1,-1,-172,0,0,0,80,84,10,0,79,92.17,265,18,25,-994,0.101
1,-1,-172,0,0,0,80,84,10,0,79,92.17,265,10,35,-996,0.051
1,-1,-172,0,0,0,81,83,10,0,79,92.17,265,15,25,-994,0.154
1,-1,-172,0,0,0,81,83,10,0,79,92.17,265,13,30,-1002,0.051
1,-1,-172,0,0,0,81,83,10,0,79,92.17,265,13,28,-991,0.102
1,-1,-172,0,0,0,81,83,10,0,79,92.17,265,13,24,-1002,0.102
1,-1,-172,0,0,0,81,83,10,0,79,92.17,265,13,32,-998,0.102
0,-1,-172,0,0,0,81,83,10,0,79,92.17,265,19,30,-1004,0.102
0,-1,-173,0,0,0,81,83,10,0,79,92.17,266,33,29,-999,0.101
1,-2,-173,0,0,0,81,83,10,0,79,92.17,266,25,49,-1072,0.103
3,-5,-174,0,0,0,81,83,10,0,79,92.17,266,42,39,-1153,0.102
10,-13,-179,0,0,-2,81,83,10,0,79,92.17,266,-4,-32,-1526,0.101
6,-9,-178,0,0,-4,81,83,11,0,79,92.17,266,66,22,-1219,0.102
-2,0,-176,0,0,-5,81,83,19,0,79,92.43,266,55,36,-1067,0.102
0,1,-176,0,0,-6,81,83,26,0,79,92.17,266,8,-3,-1094,0.103
0,0,-176,0,0,-7,81,83,35,10,79,92.28,266,35,8,-1068,0.101
0,0,-176,0,0,-8,81,83,43,20,79,92.27,266,19,-4,-1021,0.102
0,0,-176,0,0,-8,81,83,54,30,79,92.53,266,8,2,-988,0.102
0,0,-176,0,0,-8,81,83,63,40,79,92.57,267,0,4,-969,0.102
0,0,-176,0,0,-7,81,83,72,40,79,93.03,267,17,6,-960,0.102
0,0,-176,0,0,-7,81,83,81,50,79,92.62,267,26,-15,-970,0.102
0,1,-176,0,4,-7,81,83,90,60,79,92.92,267,40,-11,-945,0.102
-2,6,-176,0,3,-6,81,83,99,70,79,92.9,267,25,9,-913,0.103
-1,6,-176,0,2,-6,81,83,105,80,79,93.12,267,24,-8,-868,0.102
0,5,-176,0,1,-5,81,83,112,90,79,93.26,267,27,-4,-878,0.102
0,3,-176,0,1,-3,81,83,116,90,79,93.31,267,26,-17,-888,0.102
0,2,-176,0,1,-2,81,83,120,100,79,93.32,267,22,-24,-906,0.102
1,2,-176,0,0,-2,81,83,122,100,79,93.18,267,21,-11,-909,0.102
0,2,-176,0,0,-1,81,83,126,110,79,93.08,268,5,-16,-918,0.102
0,2,-176,0,0,-1,81,83,127,110,79,93.02,268,24,-7,-949,0.102
1,2,-176,0,0,0,81,83,129,110,79,93.22,268,29,-14,-950,0.102
1,1,-176,0,0,0,81,83,130,110,79,93.46,268,21,-19,-977,0.102
1,1,-176,0,0,0,82,83,129,110,79,93.43,268,16,-17,-966,0.104
1,1,-176,0,0,0,82,83,130,110,79,93.42,268,25,-25,-988,0.101
1,1,-176,0,0,0,82,83,130,110,79,93.11,268,17,-25,-961,0.102
1,1,-176,0,0,0,82,83,130,110,79,93.15,268,12,-20,-996,0.102
1,1,-176,0,0,0,82,83,131,110,79,93.41,268,6,-32,-980,0.102
1,1,-176,0,0,0,82,83,130,110,79,93.23,268,19,-10,-989,0.102
1,1,-176,0,0,0,82,83,130,110,79,93.25,269,31,-2,-1000,0.051
